iter	Passed	Remaining
438	1268	4512
439	1271	4508
440	1273	4501
441	1275	4494
442	1276	4487
443	1278	4479
444	1280	4472
445	1281	4466
446	1283	4459
447	1285	4453
448	1287	4448
449	1289	4442
450	1291	4435
451	1293	4429
452	1295	4423
453	1297	4417
454	1298	4410
455	1300	4404
456	1303	4401
457	1305	4394
458	1307	4388
459	1308	4382
460	1310	4375
461	1312	4368
462	1313	4361
463	1315	4355
464	1318	4351
465	1320	4346
466	1322	4340
467	1324	4334
468	1326	4328
469	1328	4323
470	1330	4318
471	1331	4311
472	1335	4310
473	1337	4304
474	1340	4302
475	1343	4301
476	1345	4296
477	1347	4290
478	1349	4284
479	1352	4281
480	1353	4275
481	1355	4269
482	1357	4264
483	1359	4258
484	1361	4253
485	1363	4247
486	1366	4244
487	1368	4240
488	1370	4234
489	1372	4229
490	1374	4224
491	1376	4219
492	1378	4213
493	1380	4207
494	1382	4202
495	1384	4197
496	1386	4191
497	1387	4186
498	1390	4181
499	1392	4178
500	1394	4172
501	1409	4205
502	1413	4206
503	1415	4201
504	1417	4195
505	1419	4190
506	1421	4185
507	1423	4179
508	1424	4173
509	1432	4186
510	1435	4183
511	1440	4187
512	1444	4187
513	1447	4184
514	1449	4179
515	1451	4175
516	1454	4171
517	1456	4167
518	1458	4162
519	1462	4161
520	1464	4158
521	1467	4155
522	1469	4151
523	1472	4147
524	1474	4143
525	1477	4140
526	1480	4138
527	1482	4134
528	1485	4129
529	1486	4124
530	1489	4119
531	1493	4119
532	1495	4115
533	1497	4109
534	1499	4104
535	1500	4099
536	1504	4098
537	1507	4096
538	1510	4093
539	1512	4088
540	1514	4084
541	1516	4078
542	1517	4072
543	1519	4067
544	1522	4063
545	1525	4062
546	1528	4059
547	1530	4054
548	1532	4050
549	1534	4045
550	1537	4042
551	1539	4037
552	1542	4037
553	1545	4033
554	1547	4029
555	1549	4023
556	1551	4018
557	1555	4019
558	1560	4022
559	1563	4019
560	1566	4018
561	1570	4017
562	1573	4015
563	1575	4012
564	1578	4008
565	1580	4004
566	1583	4002
567	1586	3999
568	1588	3995
569	1591	3992
570	1593	3988
571	1595	3984
572	1598	3980
573	1600	3976
574	1603	3973
575	1606	3970
576	1609	3968
577	1611	3964
578	1614	3962
579	1617	3960
580	1621	3959
581	1626	3962
582	1629	3959
583	1631	3956
584	1633	3952
585	1636	3949
586	1639	3947
587	1642	3943
588	1644	3939
589	1646	3934
590	1648	3929
591	1650	3926
592	1653	3924
593	1656	3920
594	1658	3916
595	1661	3913
596	1663	3910
597	1667	3910
598	1671	3909
599	1673	3904
600	1675	3899
601	1677	3895
602	1679	3891
603	1681	3887
604	1685	3886
605	1687	3881
606	1689	3877
607	1691	3871
608	1693	3867
609	1695	3862
610	1696	3857
611	1700	3856
612	1702	3852
613	1704	3848
614	1707	3846
615	1709	3840
616	1711	3836
617	1713	3832
618	1717	3831
619	1719	3826
620	1720	3821
621	1722	3816
622	1724	3811
623	1726	3806
624	1727	3801
625	1729	3797
626	1733	3795
627	1735	3790
628	1737	3786
629	1738	3781
630	1740	3776
631	1742	3771
632	1744	3768
633	1748	3767
634	1750	3763
635	1752	3758
636	1754	3754
637	1756	3749
638	1758	3744
639	1759	3739
640	1763	3738
641	1765	3733
642	1766	3728
643	1768	3724
644	1770	3719
645	1772	3714
646	1773	3709
647	1775	3705
648	1778	3701
649	1781	3699
650	1783	3695
651	1785	3690
652	1786	3685
653	1788	3680
654	1790	3676
655	1792	3671
656	1793	3667
657	1796	3664
658	1798	3660
659	1800	3655
660	1802	3650
661	1803	3645
662	1805	3641
663	1807	3636
664	1809	3632
665	1811	3628
666	1813	3624
667	1815	3619
668	1817	3615
669	1818	3610
670	1820	3606
671	1822	3601
672	1825	3598
673	1828	3596
674	1829	3592
675	1831	3587
676	1833	3583
677	1835	3579
678	1837	3574
679	1839	3570
680	1842	3568
681	1846	3567
682	1848	3563
683	1850	3560
684	1853	3558
685	1856	3556
686	1859	3554
687	1861	3550
688	1863	3546
689	1865	3542
690	1868	3539
691	1870	3534
692	1871	3530
693	1875	3528
694	1876	3523
695	1878	3519
696	1880	3515
697	1882	3511
698	1885	3509
699	1887	3504
700	1889	3501
701	1892	3499
702	1895	3496
703	1897	3492
704	1899	3489
705	1902	3486
706	1903	3482
707	1907	3481
708	1910	3478
709	1911	3473
710	1913	3469
711	1915	3464
712	1917	3461
713	1919	3456
714	1922	3454
715	1924	3450
716	1926	3446
717	1928	3442
718	1930	3438
719	1932	3436
720	1934	3431
721	1936	3428
722	1938	3424
723	1941	3422
724	1944	3418
725	1946	3414
726	1947	3410
727	1949	3406
728	1951	3401
729	1953	3398
730	1955	3394
731	1956	3389
732	1958	3385
733	1961	3382
734	1963	3378
735	1965	3375
736	1967	3371
737	1969	3368
738	1971	3364
739	1973	3359
740	1974	3355
741	1976	3351
742	1978	3347
743	1980	3343
744	1981	3338
745	1983	3334
746	1985	3331
747	1987	3326
748	1989	3322
749	1990	3317
750	1992	3313
751	1994	3309
752	1995	3304
753	1997	3300
754	1998	3296
755	2001	3294
756	2003	3289
757	2005	3285
758	2006	3281
759	2008	3276
760	2010	3272
761	2011	3268
762	2013	3264
763	2014	3259
764	2017	3257
765	2019	3253
766	2020	3248
767	2022	3244
768	2024	3240
769	2026	3236
770	2027	3232
771	2029	3228
772	2031	3224
773	2033	3221
774	2035	3217
775	2037	3213
776	2039	3209
777	2041	3205
778	2042	3201
779	2044	3198
780	2046	3194
781	2051	3195
782	2053	3191
783	2055	3188
784	2057	3184
785	2058	3179
786	2060	3175
787	2061	3171
788	2063	3166
789	2066	3165
790	2068	3161
791	2069	3157
792	2071	3153
793	2073	3149
794	2075	3145
795	2076	3141
796	2078	3137
797	2081	3135
798	2083	3131
799	2084	3127
800	2086	3123
801	2088	3119
802	2090	3115
803	2091	3111
804	2093	3107
805	2097	3106
806	2098	3102
807	2100	3098
808	2101	3094
809	2103	3090
810	2105	3086
811	2106	3081
812	2108	3077
813	2109	3073
814	2113	3072
815	2115	3069
816	2117	3066
817	2119	3062
818	2120	3058
819	2122	3054
820	2123	3050
821	2125	3045
822	2126	3041
823	2129	3038
824	2131	3036
825	2133	3032
826	2135	3028
827	2136	3024
828	2138	3020
829	2140	3016
830	2141	3012
831	2143	3009
832	2146	3006
833	2148	3004
834	2150	3000
835	2151	2996
836	2153	2992
837	2154	2988
838	2156	2984
839	2158	2980
840	2160	2976
841	2162	2974
842	2163	2970
843	2165	2966
844	2167	2962
845	2169	2958
846	2170	2955
847	2172	2951
848	2173	2947
849	2175	2943
850	2177	2940
851	2179	2937
852	2181	2933
853	2182	2929
854	2184	2925
855	2185	2921
856	2187	2917
857	2188	2913
858	2190	2909
859	2193	2907
860	2195	2903
861	2196	2900
862	2198	2896
863	2199	2892
864	2201	2888
865	2203	2884
866	2204	2880
867	2205	2876
868	2207	2873
869	2210	2870
870	2211	2866
871	2213	2863
872	2215	2859
873	2217	2856
874	2218	2852
875	2220	2848
876	2222	2845
877	2225	2844
878	2227	2840
879	2228	2836
880	2230	2833
881	2232	2830
882	2235	2827
883	2237	2824
884	2239	2820
885	2242	2819
886	2244	2816
887	2246	2812
888	2247	2809
889	2249	2805
890	2251	2801
891	2252	2798
892	2254	2794
893	2257	2793
894	2260	2790
895	2261	2786
896	2263	2783
897	2266	2780
898	2267	2777
899	2269	2773
900	2271	2770
901	2274	2768
902	2276	2765
903	2278	2762
904	2280	2758
905	2281	2755
906	2283	2751
907	2285	2748
908	2287	2744
909	2289	2742
910	2291	2739
911	2293	2735
912	2294	2732
913	2296	2728
914	2297	2724
915	2299	2721
916	2301	2718
917	2304	2715
918	2306	2712
919	2308	2709
920	2310	2707
921	2312	2703
922	2314	2700
923	2316	2697
924	2318	2694
925	2321	2692
926	2323	2689
927	2325	2686
928	2327	2683
929	2329	2680
930	2330	2676
931	2332	2672
932	2333	2669
933	2336	2667
934	2339	2664
935	2340	2660
936	2342	2657
937	2343	2653
938	2345	2650
939	2347	2646
940	2348	2643
941	2350	2639
942	2354	2639
943	2356	2636
944	2358	2632
945	2360	2629
946	2361	2625
947	2363	2622
948	2364	2618
949	2366	2615
950	2367	2611
951	2370	2609
952	2372	2606
953	2373	2602
954	2375	2599
955	2377	2596
956	2379	2593
957	2381	2590
958	2382	2586
959	2385	2583
960	2386	2580
961	2388	2576
962	2389	2573
963	2390	2569
964	2392	2566
965	2394	2562
